genre,au,us
adult standards,1105042.7916666667,6561658.9
afrobeat,1182567.0,5136281.0
afropop,720286.4375,3990479.055555556
azonto,506347.75,4627841.0
blues,1182567.0,5136281.0
blues rock,892529.0,2259513.0
brazilian funk,1065160.0,5925788.0
celtic,969175.0,2379926.0
chillwave,1771833.0,
classic rock,1795782.642857143,6024141.0
country,6125334.123484849,32444614.379503105
country pop,8049839.5,36683940.75
country rap,892880.4285714285,18930253.0625
county rock,8049839.5,28576902.75
dance,3561251.7597377365,11081618.254166666
dance pop,3141573.023793928,12747065.850299496
dancehall,819062.8125,2601505.242424242
deep pop r&b,2496369.875,3463064.611111111
disco house,553181.0,1608155.0
dubstep,8855442.004226474,21695612.466025643
easy listening,1347926.6666666667,6083483.125
electro,3102932.31866131,11095813.51020619
electro house,5126637.176870748,20820501.6191733
electropop,5436265.517360755,21167585.292778056
emo,3163921.5,18892197.95238095
escape room,1832818.5,4377511.616666666
europop,1658783.3333333333,4565902.0
experimental,2206561.0,12927022.0
folk,969175.0,3372522.714285714
folk rock,2206561.0,12927022.0
funk,1286993.297619047,
gospel,1706818.0,2496106.5555555555
grime,2994277.413333333,6915821.966666666
hip hop,2063035.8375867868,9260181.531694002
house,4383414.046491228,12239426.94077272
indie,3141891.893939394,7336139.059523809
indie pop,4891110.283760684,24760579.49107143
indie pop rap,930604.75,9391342.066666666
indie r&b,934549.3,3101937.9285714286
indie rock,3430945.1666666665,9936509.283333335
indietronica,1961699.952380953,9553788.714285716
jazz,886986.0,10640509.0
k-hop,353431.0,1857168.625
k-pop,766849.5,5641201.0666666655
latin,1847206.693722944,14117593.842238177
lounge,1225738.8333333333,5390239.875
mellow gold,2206561.0,12927022.0
metal,3083607.0,22862690.0
moombahton,6472033.391666668,12909557.21923077
new wave,2468861.25,2191634.5
ninja,7222897.239583334,14013199.986363636
other,3625617.34659864,13522949.364373898
pagode baiano,1065160.0,5925788.0
pop,4207687.25226299,19033790.91291367
pop house,8874585.0,
pop punk,2784488.0,18873307.5
pop rap,2808302.235170794,12963656.541747048
pop rock,5796887.944444444,15452681.38888889
psychedelic rock,2206561.0,12927022.0
punk,6967920.0,1626760.0
r&b,2601554.034820252,13247489.028179424
rap,2543762.8025364983,12907452.61221291
rap rock,3233092.0,11698469.333333336
reggae,1504996.0,37808144.0
reggaeton,2875412.2407407407,11625082.294233091
rock,2312440.833333333,8876528.527777778
soul,2397592.7619047617,9916461.113333331
techno,3513202.0,24138750.0
trance,2129329.0,1615176.0
trap,3306941.583333333,15165009.656018518
tropical,212863.0,4992158.75
tropical house,4288412.488888889,19278860.4
