playlist,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode
37i9dQZEVXbKuaTI1Z1Afx,0.6006239999999999,0.194374,120.70914,0.09772,0.2843336,0.0766392014,3.94,0.6265,5.22,186455.32,-6.89292,0.41123599999999993,0.44
37i9dQZEVXbLRQDuF5jeBp,0.5666599999999999,0.23509800000000003,126.22843999999999,0.09437200000000001,0.32133014000000004,0.0241821046,3.86,0.5946,5.14,188372.06,-7.95082,0.44595599999999996,0.66
37i9dQZEVXbLiRSasKsNU9,0.60578,0.198006,121.85036,0.10473,0.327254,0.0732035506,3.9,0.61634,5.24,203504.96,-7.32144,0.47006,0.54
37i9dQZEVXbMDoHDwVN2tF,0.61202,0.19849,123.33498,0.079326,0.277023,0.014616331800000002,3.9,0.6368,5.08,198594.2,-7.0141,0.5069400000000001,0.58
37i9dQZF1DX0XUsuxWHRQd,0.61212,0.195638,130.0466,0.22220199999999998,0.10316746,0.016950324399999998,3.94,0.75976,5.76,174770.02,-6.843959999999999,0.42868,0.48
37i9dQZF1DX10zKzsJ2jva,0.68098,0.162658,121.88498,0.129004,0.23891020000000002,0.012229080799999998,4.0,0.7528199999999999,5.04,193321.64,-5.10374,0.55704,0.56
37i9dQZF1DX1lVhptIYRda,0.69372,0.158602,127.3152,0.038682,0.188874804,0.0001452956,3.92,0.5660000000000001,5.08,193545.58,-5.65572,0.5243800000000001,0.94
37i9dQZF1DX4JAvHpjipBk,0.61583,0.19974599999999998,127.5838,0.11210800000000001,0.240255975,0.0570324308,3.89,0.62849,5.24,183076.61,-6.895589999999999,0.454384,0.6
37i9dQZF1DX4SBhb3fqCJd,0.5527843137254902,0.14659803921568626,115.7876274509804,0.11089411764705882,0.37287156862745097,0.00911446294117647,3.8627450980392157,0.6344901960784314,5.03921568627451,201281.66666666666,-7.405843137254902,0.4596470588235294,0.35294117647058826
37i9dQZF1DX4dyzvuaRJ0n,0.8270107526881721,0.19351505376344086,129.5878924731183,0.06946989247311829,0.05497275268817205,0.2655490847311828,3.989247311827957,0.6729677419354838,5.204301075268817,215557.5806451613,-6.1358494623655915,0.43123870967741934,0.4838709677419355
37i9dQZF1DXcBWIGoYBM5M,0.6407599999999999,0.17892399999999997,126.19766,0.084994,0.2424112,0.0073169394,3.84,0.6593600000000001,5.12,189571.32,-6.1315599999999995,0.491182,0.68
37i9dQZF1DXcF6B6QPhFDv,0.8098399999999999,0.195144,135.0973,0.066696,0.020086813600000003,0.043395392600000006,3.94,0.511,5.52,205000.5,-4.73034,0.483154,0.52
